rowid,sampleid,age,gender
233,134461,thirties,male
234,086522,thirties,female
235,130997,twenties,male
236,036754,twenties,male
237,141827,twenties,male
238,108619,thirties,male
239,102275,twenties,male
240,095174,fourties,male
241,014449,twenties,male
242,018020,fifties,female
243,084585,seventies,male
244,052659,twenties,male
245,023064,fourties,male
246,100003,thirties,male
247,108975,fifties,female
248,074445,fourties,male
249,111539,seventies,male
250,035809,thirties,male
251,107624,thirties,male
252,141951,sixties,male
253,128762,fourties,female
254,078468,seventies,male
255,132683,fifties,female
256,100273,twenties,male
257,016477,twenties,female
258,127666,thirties,male
259,054578,fourties,male
260,046110,fourties,male
261,145977,fourties,male
262,052116,thirties,male
263,096496,twenties,male
264,058155,twenties,male
265,078025,twenties,male
266,140088,twenties,male
267,143075,thirties,male
268,015459,fifties,female
269,002330,teens,male
270,119198,fourties,male
271,134965,twenties,male
272,133484,sixties,male
273,060914,twenties,male
274,065434,fifties,female
275,132364,fifties,male
276,127775,thirties,male
277,094396,fourties,male
278,128120,thirties,male
279,062265,twenties,male
280,052458,fifties,male
281,052505,twenties,female
282,133872,teens,male
283,094712,twenties,male
284,078911,thirties,female
285,037660,fifties,female
286,107647,twenties,male
287,146112,fifties,male
288,112639,fifties,male
289,121719,twenties,male
290,070398,twenties,male
291,040480,thirties,male
292,103729,sixties,male
293,048767,twenties,male
294,044900,twenties,male
295,042799,thirties,female
296,089998,sixties,male
297,017629,twenties,male
298,105904,thirties,male
299,027635,fifties,female
300,117244,twenties,male
301,114101,thirties,male
302,092212,sixties,female
303,033105,thirties,female
304,114215,fourties,male
305,000355,teens,male
306,124318,fourties,male
307,135665,fourties,male
308,034324,twenties,male
309,015292,twenties,female
310,073445,twenties,female
311,097182,twenties,male
312,136101,fifties,male
313,104738,thirties,male
314,133440,thirties,male
315,062337,teens,male
316,134098,twenties,male
317,143811,thirties,male
318,056431,teens,male
319,054564,fifties,male
320,049292,teens,male
321,044916,twenties,male
322,146233,thirties,male
323,018265,twenties,male
324,038261,fifties,male
325,137818,twenties,female
326,070630,seventies,male
327,050442,twenties,male
328,062365,thirties,male
329,086231,thirties,male
330,031519,teens,male
331,021291,twenties,male
332,032688,teens,male
333,015563,twenties,male
334,104380,thirties,male
335,067122,twenties,male
336,024176,twenties,female
337,109548,fourties,male
338,052447,fourties,female
339,057111,thirties,male
340,052991,twenties,male
341,037226,thirties,female
342,028819,twenties,male
343,144162,twenties,male
344,021591,twenties,male
345,024159,twenties,male
346,095428,teens,male
347,125598,fourties,male
348,116416,twenties,male
349,039035,thirties,male
350,104267,twenties,male
351,115821,fifties,male
352,105243,twenties,female
353,064273,twenties,male
354,042481,thirties,male
355,088175,thirties,female
356,123039,sixties,female
357,041540,twenties,male
358,095908,sixties,male
359,144529,fifties,female
360,053511,twenties,male
361,011655,twenties,male
362,031363,sixties,female
363,073947,teens,male
364,098453,fifties,male
365,024472,fifties,male
366,130623,sixties,male
367,082814,seventies,female
368,122599,thirties,female
369,117792,fifties,female
370,110943,twenties,male
371,087651,fifties,female
372,077063,twenties,male
373,137113,twenties,male
374,086270,twenties,male
375,098267,teens,male
376,106911,twenties,male
377,078186,thirties,male
378,136382,seventies,male
379,041098,twenties,male
380,043380,thirties,male
381,087810,twenties,male
382,013947,teens,female
383,072778,thirties,male
384,064521,fourties,male
385,104953,sixties,female
386,089128,thirties,male
387,116735,thirties,male
388,127504,twenties,male
389,095324,teens,male
390,073668,thirties,female
391,023963,fourties,male
392,114020,twenties,male
393,043451,sixties,male
394,142816,twenties,male
395,040794,twenties,female
396,060179,twenties,male
397,047742,twenties,male
398,107243,sixties,female
399,103246,twenties,female
400,064709,thirties,male
401,079506,twenties,male
402,139900,fifties,male
403,083523,teens,male
404,115247,fifties,male
405,136867,teens,male
406,101350,fifties,female
407,022833,twenties,male
408,054468,sixties,male
409,111498,thirties,male
410,121011,twenties,male
411,026899,sixties,female
412,039040,twenties,male
413,079594,thirties,female
414,036696,thirties,female
415,034537,fifties,female
416,002063,fifties,female
417,029908,twenties,male
418,058365,twenties,male
419,048030,fifties,male
420,024804,twenties,female
421,085247,twenties,female
422,040931,thirties,male
423,147469,twenties,male
424,005590,fourties,male
425,145999,sixties,male
426,132832,thirties,female
427,141230,fourties,female
428,072906,twenties,male
429,093014,twenties,male
430,009619,thirties,female
431,011003,thirties,male
432,034344,thirties,female
433,121259,thirties,male
434,073312,twenties,male
435,120196,sixties,male
436,006257,twenties,male
437,093233,fifties,female
438,054351,twenties,male
439,034943,sixties,male
440,032283,twenties,male
441,105231,seventies,male
442,114209,sixties,female
443,002096,fifties,female
444,137734,teens,male
445,122419,fifties,male
446,031175,twenties,female
447,126815,fourties,male
448,108340,fifties,male
449,013849,fourties,male
450,031733,twenties,male
451,139531,thirties,male
452,117100,teens,female
453,087546,twenties,male
454,032585,sixties,male
455,018012,thirties,male
456,081883,thirties,male
457,142753,thirties,male
458,086314,teens,male
459,068055,twenties,male
460,009770,twenties,male
461,030577,twenties,female
462,047682,teens,male
463,124572,thirties,female
464,061830,twenties,male
465,134641,fifties,male
466,129115,fifties,male
467,146864,thirties,male
468,052312,thirties,male
469,074623,fourties,male
470,043082,thirties,male
471,054939,fifties,female
472,027509,twenties,male
473,113461,twenties,male
474,062494,fourties,male
475,018824,fourties,male
476,136352,thirties,female
477,053801,twenties,male
478,064675,fifties,female
479,013092,twenties,male
480,056409,fifties,male
481,059552,twenties,male
482,017087,twenties,male
483,013826,twenties,male
484,129463,fourties,male
485,057633,thirties,female
486,090624,fifties,male
487,039466,twenties,female
488,029068,twenties,male
489,058735,fifties,female
490,145458,fourties,female
491,058700,seventies,male
492,132514,twenties,male
493,022448,thirties,female
494,030005,thirties,female
495,050801,twenties,male
496,142952,fifties,female
497,070896,twenties,female
498,066750,twenties,male
499,091360,sixties,male
500,053868,twenties,male
501,001745,fifties,female
502,104378,fifties,female
503,094404,twenties,male
504,136911,teens,male
505,126028,twenties,male
506,132481,twenties,female
507,106489,thirties,female
508,139496,thirties,male
509,039602,fourties,male
510,005240,thirties,male
511,080000,twenties,female
512,011786,twenties,male
513,115468,twenties,male
514,103893,teens,male
515,073469,sixties,male
516,132872,thirties,male
517,084197,twenties,male
518,109673,thirties,female
519,060593,twenties,male
520,014465,twenties,male
521,055599,twenties,male
522,072682,sixties,male
523,005172,thirties,male
524,051999,sixties,male
525,030720,fifties,female
526,030303,twenties,male
527,130711,twenties,female
528,008513,fifties,male
529,128653,thirties,male
530,141443,thirties,male
531,069312,twenties,male
532,048936,thirties,male
533,051451,thirties,male
534,132637,fourties,female
535,040805,fifties,female
536,028651,twenties,male
537,030935,twenties,male
538,062012,thirties,male
539,022611,fourties,male
540,043497,twenties,male
541,055970,fourties,male
542,099528,teens,female
543,136129,fourties,male
544,143735,twenties,male
545,008991,fourties,male
546,000276,twenties,female
547,057643,thirties,male
548,038579,thirties,male
549,073008,sixties,female
550,130352,twenties,male
551,069659,fifties,male
552,059299,fourties,male
553,131182,fourties,male
554,121105,twenties,male
555,125338,sixties,female
556,108073,teens,male
557,136970,twenties,female
558,136260,twenties,male
559,093152,fifties,male
560,072200,twenties,male
561,078677,fourties,female
562,141379,thirties,female
563,051530,twenties,male
564,069721,twenties,female
565,071366,twenties,male
566,085472,twenties,male
567,051878,fourties,female
568,010373,thirties,male
569,133327,teens,male
570,063501,teens,female
571,144050,teens,male
572,126702,thirties,male
573,091333,twenties,male
574,126828,thirties,female
575,125628,thirties,male
576,032385,fifties,female
577,142955,fifties,male
578,088106,twenties,male
579,069393,fifties,male
580,020409,twenties,male
581,125740,thirties,male
582,021681,twenties,female
583,024174,fifties,male
584,089582,fifties,male
585,093280,fourties,male
586,027297,fifties,female
587,126479,teens,female
588,037509,thirties,male
589,024633,thirties,male
590,062442,fifties,male
591,082279,fifties,male
592,077960,thirties,male
593,058368,fifties,male
594,082840,twenties,male
595,042454,fourties,female
596,043033,sixties,male
597,069390,thirties,male
598,080651,twenties,male
599,111645,sixties,male
600,097367,fourties,male
601,126820,thirties,male
602,098745,thirties,male
603,139044,thirties,male
604,014775,twenties,male
605,127360,fifties,male
606,044703,teens,male
607,115043,fourties,female
608,013039,thirties,female
609,107006,fourties,male
610,028118,thirties,male
611,062766,teens,male
612,056590,sixties,male
613,033382,fourties,male
614,109904,teens,male
615,010884,twenties,male
616,025192,thirties,male
617,142068,twenties,female
618,141809,fifties,male
619,073554,fourties,male
620,045795,fifties,male
621,138384,fourties,male
622,064043,fifties,male
623,014325,twenties,male
624,125330,sixties,female
625,000465,fourties,female
626,013691,twenties,male
627,148227,thirties,male
628,006286,thirties,female
629,038210,fourties,male
630,137018,thirties,male
631,048186,twenties,male
632,084237,twenties,female
633,012858,fourties,male
634,000938,teens,female
635,099438,sixties,male
636,128822,teens,male
637,078992,twenties,male
638,139905,twenties,male
639,128134,thirties,male
640,037606,fifties,male
641,051659,fourties,male
642,118358,twenties,male
643,046692,twenties,female
644,106673,fourties,male
645,075258,twenties,male
646,076505,twenties,male
647,138469,teens,male
648,070061,fifties,female
649,148009,twenties,male
650,087880,thirties,male
651,077719,fifties,male
652,087383,twenties,male
653,097786,sixties,female
654,121548,sixties,male
655,032054,twenties,female
656,038687,twenties,male
657,044553,thirties,male
658,023086,fourties,female
659,127810,twenties,male
660,137354,fifties,male
661,129482,twenties,female
662,061800,twenties,male
663,010246,twenties,male
664,022186,thirties,male
665,121001,thirties,female
666,076627,thirties,female
667,140397,twenties,male
668,103520,thirties,female
669,146130,fourties,male
670,125043,sixties,male
671,020761,thirties,male
672,079351,fourties,male
673,085272,twenties,male
674,066031,seventies,male
675,055399,thirties,male
676,120259,thirties,female
677,048201,fourties,male
678,025430,thirties,male
679,057163,thirties,male
680,128195,thirties,male
681,130721,twenties,male
682,017001,thirties,male
683,134809,thirties,female
684,007995,twenties,male
685,038168,thirties,female
686,022675,thirties,male
687,003002,twenties,male
688,114902,thirties,female
689,118901,twenties,male
690,018078,thirties,female
691,070374,twenties,male
692,089864,twenties,female
693,053151,twenties,male
694,014424,teens,male
695,128430,sixties,male
696,062481,twenties,male
697,142627,thirties,male
698,075738,twenties,male
699,005618,twenties,male
700,138200,thirties,female
701,026102,fifties,female
702,142114,fifties,male
703,042519,twenties,male
704,078556,fifties,male
705,048646,fifties,female
706,128099,sixties,male
707,143111,thirties,male
708,029355,thirties,male
709,121982,seventies,male
710,010844,thirties,male
711,006941,twenties,male
712,115032,twenties,male
713,011605,fifties,male
714,056736,fifties,male
715,023183,fourties,male
716,028171,fourties,male
717,065114,twenties,male
718,076310,thirties,female
719,049431,sixties,male
720,115643,fourties,male
721,112147,twenties,male
722,129927,fifties,male
723,060475,twenties,male
724,023667,sixties,male
725,074745,thirties,male
726,078285,sixties,male
727,127621,thirties,female
728,100056,twenties,female
729,021386,thirties,male
730,060046,fifties,male
731,144112,fourties,male
732,071432,twenties,male
733,042177,teens,male
734,055911,thirties,male
735,072676,twenties,male
736,015829,twenties,male
737,052209,thirties,male
738,054825,thirties,male
739,011300,thirties,female
740,117182,thirties,male
741,094169,twenties,male
742,027165,thirties,female
743,045597,thirties,male
744,042558,twenties,male
745,146260,twenties,male
746,081662,twenties,male
747,047233,fifties,male
748,019092,twenties,female
749,033897,sixties,male
750,020655,twenties,male
751,046050,fourties,male
752,145142,fifties,male
753,058023,fourties,male
754,106619,twenties,female
755,028350,thirties,male
756,008960,fifties,male
757,066981,twenties,male
758,123680,fourties,male
759,038204,teens,male
760,105392,twenties,male
761,019152,thirties,male
762,083177,twenties,male
763,138018,twenties,male
764,003967,fourties,male
765,128096,sixties,female
766,034882,twenties,male
767,081002,fourties,female
768,109232,sixties,male
769,144534,fourties,female
770,000758,thirties,male
771,081144,twenties,female
772,074025,twenties,male
773,042206,fifties,female
774,053722,thirties,male
775,021724,fourties,male
776,046564,thirties,female
777,066658,seventies,male
778,016312,twenties,female
779,143173,fourties,male
780,025444,seventies,male
781,081316,twenties,male
782,056184,twenties,male
783,148238,fourties,male
784,050343,thirties,male
785,086553,seventies,male
786,098071,sixties,male
787,009278,thirties,male
788,140106,twenties,female
789,135633,fourties,male
790,064502,thirties,male
791,011039,twenties,female
792,015252,sixties,male
793,023880,fifties,male
794,102902,twenties,male
795,031034,twenties,male
796,021787,twenties,male
797,031513,twenties,male
798,145215,fourties,male
799,089447,fourties,male
800,118238,twenties,male
801,033172,twenties,male
802,102263,twenties,male
803,057039,fifties,female
804,087534,teens,male
805,036739,fourties,female
806,133641,fourties,male
807,098895,thirties,female
808,130337,thirties,male
809,007199,thirties,male
810,106910,thirties,male
811,063604,twenties,male
812,089108,thirties,male
813,106812,thirties,male
814,055083,thirties,female
815,104546,fourties,male
816,073580,thirties,male
817,095848,twenties,male
818,050529,thirties,male
819,127291,thirties,male
820,137772,twenties,female
821,069812,twenties,male
822,136301,thirties,male
823,003334,twenties,male
824,146270,fourties,male
825,124957,fourties,male
826,069224,thirties,male
827,017583,thirties,female
828,013455,twenties,female
829,099697,thirties,male
830,027596,twenties,male
831,059897,fifties,female
832,059083,fifties,female
833,050364,fourties,male
834,147851,thirties,male
835,015774,twenties,female
836,033787,twenties,male
837,071016,twenties,male
838,070077,thirties,male
839,127971,thirties,male
840,142377,twenties,female
841,057166,fifties,male
842,127242,fifties,female
843,074826,fifties,male
844,058201,sixties,male
845,028110,sixties,female
846,017903,teens,male
847,111038,thirties,male
848,071390,fourties,male
849,021996,teens,male
850,148232,fifties,male
851,030310,fourties,male
852,068235,twenties,female
853,036592,twenties,male
854,042202,thirties,male
855,117568,twenties,male
856,140616,seventies,male
857,016514,twenties,male
858,002756,fifties,female
859,035966,fourties,female
860,038680,teens,male
861,115212,thirties,male
862,064725,thirties,male
863,113768,fourties,male
864,085941,teens,male
865,112179,fifties,female
866,006161,twenties,male
867,084232,sixties,male
868,076373,fifties,female
869,051912,fourties,male
870,111866,twenties,male
871,047087,fourties,female
872,018988,fourties,male
873,042629,fifties,male
874,132474,thirties,male
875,013737,fifties,female
876,071948,thirties,male
877,007619,twenties,male
878,064890,twenties,male
879,103671,fifties,female
880,037340,thirties,male
881,033092,thirties,male
882,049553,fourties,male
883,047961,twenties,male
884,067195,thirties,male
885,133098,fifties,male
886,118578,thirties,male
887,023775,fifties,male
888,109510,thirties,male
889,082151,thirties,female
890,088701,fourties,male
891,058247,fifties,female
892,107169,fourties,male
893,020833,twenties,male
894,117036,twenties,male
895,105772,thirties,male
896,069071,twenties,female
897,052113,fourties,female
898,053517,twenties,male
899,114629,twenties,male
900,051918,twenties,male
901,002709,fourties,female
902,065464,twenties,female
903,006410,fifties,male
904,034838,twenties,male
905,030955,twenties,male
906,046315,twenties,male
907,050635,thirties,female
908,037398,seventies,male
909,113802,twenties,male
910,139387,sixties,female
911,066310,twenties,male
912,036195,twenties,male
913,082579,twenties,male
914,012669,fourties,male
915,054245,thirties,female
916,078758,twenties,male
917,059002,thirties,male
918,109240,fifties,female
919,124043,sixties,female
920,051050,fourties,male
921,096304,fourties,male
922,039395,thirties,male
923,074886,fourties,male
924,118683,fifties,male
925,113835,twenties,male
926,072093,twenties,male
927,012798,thirties,male
928,108773,thirties,female
929,057904,teens,male
930,102455,twenties,male
931,129784,twenties,male
932,018949,thirties,female
933,024938,twenties,male
934,037634,twenties,male
935,032504,seventies,male
936,015608,teens,male
937,148382,twenties,female
938,131131,thirties,male
939,139947,twenties,male
940,056381,seventies,male
941,077910,twenties,male
942,004602,teens,male
943,024499,fifties,male
944,014111,teens,male
945,134813,twenties,male
946,121769,thirties,male
947,007638,fifties,male
948,142706,thirties,male
949,072052,fourties,male
950,049216,twenties,male
951,004610,teens,male
952,047987,thirties,male
953,070760,twenties,male
954,138386,teens,male
955,049626,thirties,male
956,098947,fourties,male
957,004277,twenties,male
958,138226,fourties,female
959,004221,thirties,male
960,011938,fifties,male
961,122110,twenties,female
962,127684,thirties,male
963,056743,fourties,male
964,045981,twenties,male
965,008185,twenties,male
966,025263,thirties,male
967,133605,fourties,female
968,030046,thirties,male
969,128951,twenties,female
970,090668,thirties,male
971,079106,fifties,male
972,087065,fifties,female
973,044744,thirties,male
974,106555,sixties,male
975,016756,thirties,male
976,122648,twenties,male
977,143199,fifties,male
978,118810,sixties,male
979,108008,fifties,male
980,117175,fourties,male
981,011631,thirties,male
982,104979,sixties,male
983,011552,thirties,male
984,136334,thirties,male
985,031337,fourties,male
986,004510,twenties,male
987,015410,sixties,male
988,003793,twenties,male
989,020399,twenties,male
990,092062,twenties,male
991,100491,twenties,male
992,132421,fifties,male
993,117698,thirties,male
994,040450,twenties,male
995,078241,sixties,female
996,043102,teens,male
997,125966,fifties,female
998,064366,fourties,male
999,020849,fifties,male
1000,041942,thirties,male
1001,021307,fourties,male
1002,026499,twenties,male
1003,096152,thirties,male
1004,042992,twenties,male
1005,078856,fifties,male
1006,124084,teens,male
1007,124285,twenties,male
1008,095797,twenties,male
1009,064410,fourties,male
1010,115336,thirties,female
1011,110673,fifties,male
1012,120918,teens,male
1013,045038,thirties,male
1014,024717,fifties,male
1015,085860,twenties,female
1016,131928,fourties,female
1017,087461,fifties,male
1018,092619,sixties,male
1019,077352,fourties,male
1020,106662,teens,male
1021,072502,fifties,female
1022,147998,twenties,male
1023,124326,twenties,male
1024,107168,twenties,male
1025,052962,teens,female
1026,121708,thirties,female
1027,132428,sixties,female
1028,124052,fifties,male
1029,025487,twenties,male
1030,076497,fourties,male
1031,006344,twenties,male
1032,054881,twenties,male
1033,132770,thirties,male
1034,118788,twenties,male
1035,144193,sixties,male
1036,061779,fourties,male
1037,144551,thirties,male
1038,058349,seventies,male
1039,125110,fourties,male
1040,113358,teens,female
1041,024264,fourties,male
1042,130247,thirties,male
1043,094601,teens,male
1044,049433,thirties,male
1045,050539,twenties,male
1046,039098,twenties,female
1047,069080,fifties,male
1048,032036,twenties,male
1049,007797,twenties,male
1050,089981,fifties,female
1051,117931,sixties,female
1052,070129,sixties,male
1053,087509,thirties,female
1054,014935,thirties,male
1055,022102,fifties,female
1056,022488,twenties,male
1057,122117,teens,male
1058,078200,twenties,male
1059,098914,fourties,female
1060,106707,fourties,male
1061,090916,thirties,male
1062,142239,thirties,female
1063,005574,twenties,male
1064,125560,twenties,female
1065,090091,fourties,male
1066,131005,fourties,male
1067,042742,fifties,female
1068,094381,thirties,female
1069,098816,twenties,male
1070,096287,sixties,female
1071,032588,thirties,female
1072,025711,twenties,male
1073,133740,twenties,female
1074,002314,teens,female
1075,092293,twenties,male
1076,059973,thirties,male
1077,065156,fifties,male
1078,116395,sixties,male
1079,110252,twenties,female
1080,040171,fourties,male
1081,097084,fourties,male
1082,089125,thirties,male
1083,096999,thirties,female
1084,092710,twenties,male
1085,093143,twenties,male
1086,071915,seventies,male
1087,114419,thirties,male
1088,044305,thirties,male
1089,114182,fourties,female
1090,054495,twenties,male
1091,112876,thirties,female
1092,129823,twenties,male
1093,052823,fifties,female
1094,125156,teens,male
1095,036031,thirties,female
1096,095651,sixties,female
1097,061064,twenties,male
1098,000415,seventies,male
1099,004722,thirties,male
1100,018264,fourties,male
1101,061020,thirties,female
1102,098766,twenties,male
1103,031605,sixties,male
1104,117997,thirties,male
1105,122495,sixties,male
1106,143205,fourties,male
1107,080381,sixties,male
1108,142454,twenties,male
1109,140558,fifties,male
1110,120606,twenties,male
1111,094949,sixties,female
1112,112191,twenties,male
1113,039406,twenties,male
1114,078101,fifties,female
1115,035958,thirties,male
1116,103681,teens,male
1117,015965,thirties,female
1118,092463,sixties,male
1119,077383,thirties,male
1120,137782,thirties,male
1121,077613,twenties,female
1122,066815,thirties,female
1123,068324,teens,male
1124,086660,thirties,male
1125,021121,sixties,male
1126,005871,thirties,male
1127,095731,twenties,male
1128,016669,twenties,male
1129,017808,twenties,male
1130,060187,twenties,male
1131,011904,thirties,male
1132,078063,thirties,male
1133,133860,thirties,male
1134,089996,thirties,female
1135,121951,thirties,male
1136,089913,teens,male
1137,037118,twenties,male
1138,016867,thirties,female
1139,053355,fourties,male
1140,099256,fourties,male
1141,053438,fourties,male
1142,121417,fifties,female
1143,136630,fifties,male
1144,053077,twenties,male
1145,004647,teens,male
1146,072624,twenties,female
1147,131826,twenties,male
1148,091452,sixties,female
1149,118027,fourties,male
1150,146445,thirties,female
1151,103362,twenties,male
1152,068255,thirties,male
1153,129735,teens,male
1154,129051,sixties,male
1155,004955,teens,male
1156,050231,sixties,male
1157,083043,twenties,male
1158,115375,sixties,female
1159,112937,thirties,male
1160,129512,fifties,female
1161,025328,fourties,male
1162,062991,twenties,male
1163,091608,twenties,male
1164,128256,sixties,male
1165,006372,sixties,male
1166,092276,twenties,male
1167,072328,twenties,male
1168,032382,fourties,male
1169,117405,sixties,male
1170,074615,thirties,female
1171,143330,fourties,male
1172,106806,thirties,male
1173,085343,fourties,male
1174,100333,thirties,female
1175,144922,fourties,male
1176,103670,fifties,female
1177,068093,twenties,female
1178,051581,fifties,female
1179,143748,fourties,female
1180,031361,sixties,male
1181,003965,thirties,male
1182,026553,thirties,female
1183,068051,thirties,male
1184,084587,fifties,male
1185,107200,twenties,female
1186,098191,twenties,male
1187,135426,thirties,male
1188,023952,fifties,female
1189,041056,sixties,female
1190,142620,sixties,male
1191,030677,seventies,male
1192,075466,twenties,male
1193,071735,thirties,male
1194,089796,teens,male
1195,098392,twenties,male
1196,046417,twenties,male
1197,077671,twenties,male
1198,059349,fourties,male
1199,146677,twenties,male
1200,100171,twenties,male
1201,136619,sixties,male
1202,036949,twenties,male
1203,043408,fourties,male
1204,064785,twenties,female
1205,085428,fourties,female
1206,069943,sixties,male
1207,016651,fifties,female
1208,126712,fourties,male
1209,052951,fifties,male
1210,124458,twenties,male
1211,083326,twenties,female
1212,008774,teens,male
1213,130129,fourties,male
1214,060915,thirties,male
1215,033938,fifties,male
1216,030689,thirties,male
1217,032356,fourties,male
1218,086293,fourties,male
1219,089001,fourties,male
1220,143274,twenties,male
1221,055134,thirties,male
1222,082135,thirties,male
1223,119717,twenties,female
1224,118474,thirties,male
1225,138477,thirties,male
1226,065051,fourties,female
1227,130537,fourties,male
1228,089589,fourties,male
1229,098493,fourties,male
1230,082518,twenties,male
1231,087861,fourties,male
1232,144955,fourties,male
1233,024844,twenties,male
1234,044829,twenties,male
1235,015211,thirties,male
1236,082128,twenties,male
1237,048681,fourties,male
1238,050265,fifties,male
1239,021300,twenties,male
1240,108507,sixties,male
1241,099139,thirties,female
1242,100301,twenties,male
1243,083315,twenties,male
1244,058281,thirties,male
1245,097072,twenties,male
1246,004748,fifties,female
1247,109516,thirties,male
1248,011447,thirties,male
1249,027672,thirties,male
1250,138815,thirties,male
1251,136792,twenties,female
1252,029571,fifties,female
1253,019020,teens,female
